Author,Quote,URL
Альберт Эйнштейн,Радость видеть и понимать есть самый прекрасный дар природы. ,http://forismatic.com/ru/02457e9c5e/
Ангелус Силезиус,"Нет ни «прежде», ни «после»: то, что случится завтра, уже действительно есть в вечности.",http://forismatic.com/ru/b03bba1092/
Анна Сталь,Все понять — значит простить. ,http://forismatic.com/ru/af8895052a/
Карлос Кастанеда,"Дух воина не привязан ни к индульгированию, ни к жалобам, как не привязан он ни к победам, ни к поражениям. Единственная привязанность воина — битва, и каждая битва, которую он ведет, — его последняя битва на этой земле. Поэтому исход ее для него практически не имеет значения.",http://forismatic.com/ru/04ee1a8e90/
Свами Вивекананда,"Учитесь одинаково относиться как к врагу, так и к другу; достигнув этого и отбросив все желания, вы достигнете вашей цели.",http://forismatic.com/ru/a2efce0353/
Уилл Роджерс,"Слишком многие люди тратят деньги, которых они не зарабатывают, на вещи, которые им ни к чему, и все это — чтобы впечатлить людей, которых они терпеть не могут. ",http://forismatic.com/ru/d77d3d1d40/
Упанишады,"Тот, кто воспринимает все не иначе как самого себя, и который видит во всем самого себя, не отказывается ни от чего. Для просветленного все существующее — не что иное, как отражение его сути. Поэтому как может любое страдание или ложь существовать для того, кто познал это единство?",http://forismatic.com/ru/0fa2e34cef/
Франц Кафка,Один из самых действенных соблазнов зла — призыв к борьбе. ,http://forismatic.com/ru/3a5d27091f/
Франц Кафка ,Все дело в мгновении. Оно определяет жизнь.,http://forismatic.com/ru/141e5c0165/
Чжуан Цзы,"Когда лучник стреляет в никуда, он обнаруживает свое мастерство. Если он стреляет в латунное ведро, он уже нервничает… Приз нарушает его целостность. Он волнуется. Он думает о победе больше, чем о стрельбе, — и желание победить лишает его силы. ",http://forismatic.com/ru/842e11549c/
