Author,Quote,URL
Александр Поуп,"Один видит в луже только лужу, а другой, глядя в лужу, видит звезды. ",http://forismatic.com/ru/feed020c37/
Антуан де Сент-Экзюпери,"— Звезды чьи? — Не знаю. Ничьи. — Значит, мои, потому что я первый до этого додумался. ",http://forismatic.com/ru/324f64f64c/
Дон-Аминадо,"Для того чтобы не сделать ни одного ложного шага, надо все время топтаться на месте. ",http://forismatic.com/ru/70b7c18fec/
Жан-Люк Годар,Не важно откуда вы берете — важно куда. ,http://forismatic.com/ru/2cab430e9f/
Конфуций,"Мудрый не знает волнений, человечный не знает забот, смелый не знает страха. ",http://forismatic.com/ru/9e61b6e5f1/
Курт Кобейн,"Сделайте вашу работу наполненной жизнью, а не жизнь наполненной работой. ",http://forismatic.com/ru/2a37825f51/
Махатма Ганди,"Как только поверишь в то, что достиг идеала, дальнейшее развитие приостанавливается и начинается движение вспять. ",http://forismatic.com/ru/2cc421d4e5/
Нил Доналд Уолш,"Пока ты тревожишься о том, что подумают другие, ты остаешься в их власти. Хозяином себе ты станешь лишь после того, как лишишься потребности в одобрении окружающих.",http://forismatic.com/ru/ab3bfd86e2/
Харуки Мураками,"Вещь, несущая в себе определённое несовершенство привлекает именно своим несовершенством. ",http://forismatic.com/ru/ea486a2c4b/
Эдуард Булвер-Литтон,Содержание воздушных замков обходится очень дорого.,http://forismatic.com/ru/0481002cd4/
